date,USDCOP,SPX,USTTEN,XAU,EEM
2013-02-13,0.99494535,0.013311713,0.26374346,0.98205066,0.96321094
2013-02-20,0.9965301,0.0072097466,0.28639698,0.04728511,0.98477674
2013-02-27,0.9974589,0.028902955,0.40323418,0.049870152,0.9878423
2013-03-06,0.9396823,0.010355566,0.36785084,0.9736327,0.9594806
2013-03-13,0.9985738,0.008392627,0.43912682,0.9724966,0.99207777
2013-03-20,0.97130525,0.99944514,0.38079804,0.9196484,0.9611581
2013-03-27,0.9855415,0.002684992,0.42990687,0.9955584,0.9593809
2013-04-03,0.9838373,0.00022107549,0.32319525,0.9534998,0.005433631
2013-04-10,0.96170175,0.00021110252,0.59990174,0.98071885,0.0033351406
2013-04-17,0.0001381173,0.00011506968,0.62368685,0.03024304,0.006854274
2013-04-24,0.9967865,0.0011269323,0.6250681,0.89977145,0.036930244
2013-05-08,0.99904686,0.9917854,0.6704383,0.9732476,0.9430303
2013-05-15,0.99769384,0.99665797,0.62065035,0.9781527,0.99357235
2013-05-22,0.98700213,0.9968604,0.48225763,0.9610703,0.9910719
2013-05-29,0.9986571,0.99498886,0.5379744,0.96071434,0.9930674
2013-06-05,0.99029386,0.008619218,0.6387285,0.9343841,0.95758384
2013-06-12,0.9817915,0.0065704184,0.5687103,0.996619,0.97400826
2013-06-19,0.034574192,0.0022406667,0.486891,0.89639074,0.026219873
2013-06-26,0.008654019,0.010207705,0.5952883,0.01429798,0.03296948
2013-07-03,0.02645141,0.00031601786,0.48814687,0.052594937,0.016081003
2013-07-10,0.009109418,0.01085691,0.4616912,0.054359447,0.046642482
2013-07-17,0.977675,0.0015859887,0.6267303,0.044963982,0.003646373
2013-07-24,0.99807274,0.99888057,0.52282274,0.102973305,0.9834115
2013-07-31,0.9790509,0.9856857,0.73543394,0.016842118,0.98046577
2013-08-14,0.99602807,0.001316349,0.6790505,0.010683517,0.060113776
2013-08-21,0.0106091285,1.3829166e-05,0.26029983,0.9809214,0.013901497
2013-08-28,0.010493477,0.0024678304,0.24833852,0.97715944,0.00447327
2013-09-04,0.010055852,0.0012598999,0.2839217,0.96082693,0.036192633
2013-09-11,0.016956013,0.99621177,0.22446738,0.9740205,0.077255815
2013-09-18,0.010540737,0.9895795,0.43858305,0.99660057,0.9484071
2013-09-25,0.015485709,0.0013031369,0.4702582,0.9819308,0.028880306
2013-10-02,0.01113604,0.008793797,0.54495215,0.08375364,0.0022269536
2013-10-09,0.9914937,0.0003546804,0.45526218,0.046881508,0.06179686
2013-10-16,0.999539,0.0033257483,0.63624465,0.9379041,0.9676678
2013-10-23,0.9875788,8.832068e-05,0.69639915,0.96142817,0.9661204
2013-10-30,0.9611033,0.0005776346,0.6031388,0.9767245,0.99282396
2013-11-06,0.9700978,0.005188226,0.52317625,0.9544131,0.989852
2013-11-13,0.0011250569,0.00024678517,0.70315653,0.9521929,0.013409077
2013-11-20,0.9784282,0.005429567,0.600124,0.96584,0.9489205
2013-11-27,0.015535815,0.004629885,0.6160578,0.90324324,0.97538304
2013-12-04,0.011144235,5.3761405e-06,0.62334335,0.94245994,0.009724048
2013-12-11,0.045838207,0.011480204,0.64225614,0.9617888,0.96186703
2013-12-18,0.014864124,0.007208819,0.4515132,0.062948585,0.99725634
2014-01-08,0.99711657,0.9993449,0.30310905,0.016956098,0.9409688
2014-01-15,0.98337895,0.9875673,0.28333592,0.025587829,0.9258823
2014-01-22,0.9741557,0.9982882,0.28018436,0.034729343,0.9469836
2014-01-29,0.9973519,0.0027653226,0.37203676,0.04702133,0.03632063
2014-02-05,0.009994298,0.010354637,0.5091033,0.0061336807,0.0085764555
2014-02-12,0.9838717,0.009287596,0.18654744,0.017832972,0.9464868
2014-02-19,0.024559537,9.278601e-06,0.7022836,0.05249942,0.98207897
2014-02-26,0.0011460694,0.020165982,0.67730445,0.9378973,0.008585267
2014-03-05,0.0063603725,0.0019246826,0.6600635,0.963381,0.047723997
2014-03-12,0.0014232654,0.0038925626,0.44190532,0.9977495,0.011191125
2014-03-19,0.011376668,0.008299279,0.5104229,0.9554515,0.042421598
2014-03-26,0.0016440103,0.0012185212,0.33788297,0.9558347,0.027740795
2014-04-02,0.00868425,0.99745744,0.27950215,0.054156788,0.98072034
2014-04-09,0.007925631,0.0039236117,0.35319278,0.94454235,0.9584793
